id,date,country,magnitude,latitude,longitude,total_deaths,total_damage
1,1976-07-28,China,7.5,39.57,117.978,242000,28798371000
2,2010-01-12,Haiti,7,18.443,-72.571,222570,10736894000
3,1920-12-16,China,8.6,36.888,105.606,180000,365875000
4,2004-12-26,Indonesia,9.1,3.295,95.982,165708,6897286000
5,1923-09-01,Japan,8.1,35.413,139.298,143000,10270175000
6,1948-10-05,Soviet Union,7.3,37.95,58.32,110000,304896000
7,2008-05-12,China,7.9,31.002,103.322,87476,1.15538E+11
8,1908-12-28,Italy,7,38.17,15.58,75000,3778163000
9,2005-10-08,Pakistan,7.6,34.539,73.588,73338,7792473000
10,1970-05-31,Peru,7.8,-9.183,-78.737,66794,3995031000
11,1935-05-31,Pakistan,7.5,29.5,66.8,60000,0
12,2023-02-06,Türkiye,7.8,38.055,36.51,50096,0
13,1927-05-23,China,7.7,37.645,102.489,40912,0
14,1990-06-21,Iran (Islamic Republic of),7.3,36.961,49.414,40000,17918788000
15,2004-12-26,Sri Lanka,9.1,3.295,95.982,35399,2039778000
16,1939-12-27,Türkiye,7.8,39.771,39.57,32962,421151000
17,1939-01-24,Chile,8.3,-36.305,-72.315,30000,19372950000
18,1915-01-13,Italy,7.5,42.02,13.26,29980,1738812000
19,2003-12-26,Iran (Islamic Republic of),6.6,28.995,58.311,26796,795438000
20,1978-09-16,Iran (Islamic Republic of),7.4,33.386,57.434,25000,224314000
21,1988-12-07,Soviet Union,6.8,40.987,44.185,25000,34645914000
22,1976-02-04,Guatemala,7.5,15.324,-89.101,23000,5142566000
23,2001-01-26,India,7.7,23.419,70.232,20005,4335281000
24,1905-04-04,India,7.8,32.04,76.16,20000,814259000
25,1906-08-16,Chile,8.2,33.05,71.4,20000,3257037000
26,1974-05-11,China,7.1,28.4,104.1,20000,0
27,2011-03-11,Japan,9.1,38.297,142.373,19846,2.73218E+11
28,1999-08-17,Türkiye,7.6,40.748,29.864,17127,35137907000
29,2004-12-26,India,9.1,3.295,95.982,16389,1584721000
30,1917-01-21,Indonesia,6.6,-7,116,15000,0
31,1960-02-29,Morocco,5.9,30.45,-9.62,13100,1187441000
32,1907-10-21,China,7.4,38.5,69.9,12000,0
33,1962-09-01,Iran (Islamic Republic of),7.3,35.656,49.843,12000,290236000
34,1918-02-13,China,7.3,23.5,117,10000,0
35,1931-08-11,China,7.9,46.817,89.915,10000,0
36,1933-08-25,China,7.5,31.9,103.4,10000,0
37,1944-01-15,Argentina,7,-31.372,68.436,10000,1663068000
38,1968-08-31,Iran (Islamic Republic of),7.1,34.158,59.083,10000,294478000
39,1970-01-04,China,7.1,24.185,102.543,10000,0
40,1972-12-23,Nicaragua,6.3,12.184,-86.223,10000,5913750000
